Date,Low,Base,High
2025-01-01,439.0,495.0,794.0
2025-07-01,439.0,570.0,1168.0
2026-01-01,439.0,660.0,1558.0
2026-07-01,439.0,767.0,1964.0
2027-01-01,439.0,889.0,2386.0
2027-07-01,439.0,1026.0,2823.0
2028-01-01,439.0,1179.0,3274.0
2028-07-01,439.0,1345.0,3739.0
2029-01-01,439.0,1525.0,4218.0
2029-07-01,439.0,1718.0,4711.0
2030-01-01,439.0,1924.0,5216.0
2030-07-01,442.0,2143.0,5735.0
2031-01-01,458.0,2374.0,6265.0
2031-07-01,486.0,2617.0,6807.0
2032-01-01,525.0,2871.0,7361.0
2032-07-01,576.0,3137.0,7926.0
2033-01-01,637.0,3413.0,8501.0
2033-07-01,709.0,3700.0,9087.0
2034-01-01,791.0,3997.0,9684.0
2034-07-01,883.0,4304.0,10290.0
2035-01-01,985.0,4620.0,10906.0
2035-07-01,1094.0,4945.0,11529.0
2036-01-01,1211.0,5276.0,12160.0
2036-07-01,1333.0,5613.0,12796.0
2037-01-01,1460.0,5955.0,13438.0
2037-07-01,1591.0,6302.0,14083.0
2038-01-01,1725.0,6650.0,14732.0
2038-07-01,1862.0,7002.0,15382.0
2039-01-01,1999.0,7354.0,16034.0
2039-07-01,2136.0,7706.0,16685.0
2040-01-01,2273.0,8058.0,17336.0
2040-07-01,2407.0,8407.0,17984.0
2041-01-01,2539.0,8753.0,18631.0
2041-07-01,2667.0,9097.0,19273.0
2042-01-01,2792.0,9437.0,19912.0
2042-07-01,2911.0,9770.0,20545.0
2043-01-01,3025.0,10099.0,21173.0
2043-07-01,3132.0,10421.0,21794.0
2044-01-01,3233.0,10737.0,22410.0
2044-07-01,3326.0,11045.0,23017.0
2045-01-01,3412.0,11346.0,23617.0
2045-07-01,3489.0,11638.0,24209.0
2046-01-01,3559.0,11923.0,24792.0
2046-07-01,3620.0,12199.0,25368.0
2047-01-01,3672.0,12466.0,25934.0
2047-07-01,3716.0,12724.0,26492.0
2048-01-01,3751.0,12974.0,27041.0
2048-07-01,3777.0,13215.0,27581.0
2049-01-01,3795.0,13448.0,28113.0
2049-07-01,3804.0,13671.0,28636.0
2050-01-01,3806.0,13887.0,29151.0
2050-07-01,3806.0,14094.0,29657.0
