Date,Low,Base,High
2025-01-01,439.0,495.0,794.0
2025-07-01,439.0,570.0,1166.0
2026-01-01,439.0,660.0,1556.0
2026-07-01,439.0,767.0,1961.0
2027-01-01,439.0,889.0,2382.0
2027-07-01,439.0,1026.0,2818.0
2028-01-01,439.0,1178.0,3268.0
2028-07-01,439.0,1344.0,3731.0
2029-01-01,439.0,1522.0,4208.0
2029-07-01,439.0,1712.0,4697.0
2030-01-01,439.0,1914.0,5198.0
2030-07-01,439.0,2127.0,5709.0
2031-01-01,447.0,2350.0,6230.0
2031-07-01,465.0,2583.0,6761.0
2032-01-01,491.0,2823.0,7300.0
2032-07-01,525.0,3071.0,7847.0
2033-01-01,566.0,3326.0,8400.0
2033-07-01,613.0,3587.0,8959.0
2034-01-01,664.0,3853.0,9524.0
2034-07-01,720.0,4123.0,10093.0
2035-01-01,780.0,4397.0,10664.0
2035-07-01,842.0,4673.0,11238.0
2036-01-01,905.0,4951.0,11815.0
2036-07-01,970.0,5229.0,12392.0
2037-01-01,1034.0,5508.0,12969.0
2037-07-01,1097.0,5786.0,13546.0
2038-01-01,1160.0,6063.0,14121.0
2038-07-01,1221.0,6338.0,14694.0
2039-01-01,1278.0,6610.0,15265.0
2039-07-01,1333.0,6878.0,15832.0
2040-01-01,1383.0,7143.0,16395.0
2040-07-01,1430.0,7404.0,16954.0
2041-01-01,1471.0,7660.0,17509.0
2041-07-01,1508.0,7910.0,18057.0
2042-01-01,1538.0,8155.0,18601.0
2042-07-01,1563.0,8394.0,19138.0
2043-01-01,1582.0,8627.0,19670.0
2043-07-01,1595.0,8854.0,20195.0
2044-01-01,1601.0,9074.0,20713.0
2044-07-01,1603.0,9288.0,21226.0
2045-01-01,1603.0,9495.0,21731.0
2045-07-01,1603.0,9695.0,22230.0
2046-01-01,1603.0,9889.0,22722.0
2046-07-01,1603.0,10076.0,23208.0
2047-01-01,1603.0,10257.0,23687.0
2047-07-01,1603.0,10431.0,24160.0
2048-01-01,1603.0,10599.0,24626.0
2048-07-01,1603.0,10761.0,25086.0
2049-01-01,1603.0,10917.0,25541.0
2049-07-01,1603.0,11067.0,25990.0
2050-01-01,1603.0,11212.0,26433.0
2050-07-01,1603.0,11350.0,26870.0
