Date,Low,Base,High
2025-01,10948.2505557978,11520.1740922947,15687.0455724864
2025-07,10948.2505557978,11928.6909040782,20507.5439515317
2026-01,10948.2505557978,12745.7245276452,25818.2625047172
2026-07,10948.2505557978,13562.7581512122,32599.6415803233
2027-01,10948.2505557978,14298.0884124225,38400.580307649
2027-07,10948.2505557978,15441.9354854163,43956.4089479046
2028-01,10948.2505557978,16585.7825584101,50901.1947482241
2028-07,10948.2505557978,17729.6296314039,56702.133475549796
2029-01,10948.2505557978,19118.5867914678,62829.8856523023
2029-07,10948.2505557978,20670.9506762451,69856.3748149785
2030-01,10948.2505557978,22059.907836309,76229.2370788011
2030-07,10948.2505557978,23857.3818081564,82356.98925555359
2031-01,11029.9539181545,25736.5591423605,89546.8851429432
2031-07,11111.6572805112,27860.8465636347,97063.5944797596
2032-01,11193.3606428679,30475.3541590491,103354.7533812255
2032-07,11356.7673675813,32517.9382179666,110708.0559933285
2033-01,11520.1740922947,35377.5559004511,119777.1292149222
2033-07,11765.2841793648,37992.0634958655,126721.9150152417
2034-01,12092.0976287916,41015.0879030634,134402.0310767715
2034-07,12582.3178029318,44364.9257596881,143307.6975736518
2035-01,13317.6480641421,48041.5770657396,152049.9573458187
2035-07,13971.2749629957,51636.5250094344,160220.2935814887
2036-01,14870.0119489194,55885.0998519828,170351.5105137195
2036-07,15850.4522971998,60705.598231028096,179175.4736482431
2037-01,16994.2993701936,65526.0966100734,188979.8771310471
2037-07,18383.2565302575,70510.0017138321,200009.8310492016
2038-01,19935.6204150348,76310.9404411578,210304.4547061458
2038-07,21651.3910245255,81948.4724437701,221089.2985372302
2039-01,23693.975083442998,88648.1481570195,233181.3961660218
2039-07,25899.9658670739,95756.3406820524,245028.38370774328
2040-01,28432.770100131598,102701.1264823719,256957.0746118215
2040-07,31374.0911449728,111116.572805112,270928.34957481717
2041-01,34723.9290015975,119695.4258525655,283674.0741024624
2041-07,38482.2836700057,128682.7957118025,297481.9423407447
2042-01,42730.8585125541,138160.3857451797,312923.877826161
2042-07,47469.6535292427,148128.1959526971,327957.29649979377
2043-01,52535.2619953581,159076.4465084949,342827.3084487132
2043-07,58336.200722683796,170596.62060078958,359985.0145436202
2044-01,64709.0629865064,182443.6081425111,376979.3139138138
2044-07,71245.3319750424,195189.3326701563,393891.9099216507
2045-01,78598.6345871454,209814.2345320056,412928.7933507618
2045-07,86360.45401103189,224030.6195820714,431557.15996808937
2046-01,94612.4936090586,237838.48782035368,451656.1871078376
2046-07,103436.4567435822,252708.4997692731,471264.99407344556
2047-01,112587.2333275326,268558.9520664729,491690.83466262056
2047-07,122064.8233609098,284409.4043636727,513505.63241185946
2048-01,132277.7436554973,300668.373472656,534421.6931751746
2048-07,143062.5874865817,317744.37620520627,556399.897649127
2049-01,153684.0245929527,334902.0823001133,579031.7290219329
2049-07,165285.9020476041,353203.6354680141,601745.2637570954
2050-01,176560.9660528287,370933.265099418,625602.6455652519
2050-07,188407.9535945502,390623.7754273827,647989.3668509877
