Date,Low,Base,High
2025-01,10948.2505557978,11520.1740922947,15523.638847773
2025-07,10948.2505557978,11928.6909040782,20017.3237773915
2026-01,10948.2505557978,12745.7245276452,25001.2288811502
2026-07,10948.2505557978,13562.7581512122,30066.8373472656
2027-01,10948.2505557978,14298.0884124225,36521.4029734449
2027-07,10948.2505557978,15441.9354854163,41995.5282513438
2028-01,10948.2505557978,16585.7825584101,47959.8737033829
2028-07,10948.2505557978,17729.6296314039,53352.2956189251
2029-01,10948.2505557978,19118.5867914678,58908.124259180695
2029-07,10948.2505557978,20670.9506762451,65934.61342185689
2030-01,10948.2505557978,22059.907836309,71898.958873896
2030-07,10948.2505557978,23857.3818081564,77863.3043259351
2031-01,11029.9539181545,25736.5591423605,84072.7598650443
2031-07,11111.6572805112,27860.8465636347,90609.0288535803
2032-01,11275.0640052246,30475.3541590491,98534.2550021802
2032-07,11356.7673675813,32517.9382179666,104907.1172660028
2033-01,11601.8774546514,35377.5559004511,112097.0131533924
2033-07,11846.987541721499,37910.3601335088,119123.5023160686
2034-01,12255.504353504999,41015.0879030634,127784.0587258788
2034-07,12827.4278900019,44201.5190349747,135790.9882368354
2035-01,13317.6480641421,47796.4669786695,143552.80766072188
2035-07,14134.6816877091,51636.5250094344,151559.73717167848
2036-01,14951.715311276099,55721.6931272694,160220.2935814887
2036-07,16013.8590219132,60460.488143958,169779.58697722259
2037-01,17157.706094907,65035.8764359332,179093.7702858864
2037-07,18464.9598926142,70183.1882644053,188489.6569569069
2038-01,19935.6204150348,75657.3135423042,198539.170526781
2038-07,21651.3910245255,81376.5489072732,209732.5311696489
2039-01,23530.5683587296,87422.597721669,220272.26491366318
2039-07,25818.2625047172,94449.0868843452,231302.2188318177
2040-01,28024.2532883481,101312.169322308,242740.6895617557
2040-07,30802.1676084759,109155.6921085512,255894.9309011844
2041-01,33825.1920156738,116999.2148947944,267987.02852997597
2041-07,37256.7332346552,125578.0679422479,280977.8631446913
2042-01,41178.494627776796,134238.6243520581,294295.51120883337
2042-07,45263.6627456118,143797.917747792,309165.5231577528
2043-01,49839.051037587,153765.72795530938,323545.31493253197
2043-07,54741.252778989,163815.2415251835,338251.92015673796
2044-01,60133.6746945312,174845.195443338,353285.3388303708
2044-07,65934.61342185689,186038.5560862059,369952.8247511376
2045-01,71898.958873896,198130.6537149975,385884.9804106941
2045-07,78190.1177753619,211203.1916920695,402307.3562443908
2046-01,84889.79348861129,224030.6195820714,418974.8421651576
2046-07,91916.2826512875,236367.82729793308,437194.6919707017
2047-01,99106.1785386771,249358.6619126484,454597.5081526788
2047-07,106786.2946002069,262431.1998897204,472490.54450879607
2048-01,114303.0039370233,276157.364765646,491282.3178508371
2048-07,122146.52672326649,289883.5296415716,509502.1676563812
2049-01,130071.7528718664,303691.3978798539,527885.4241866387
2049-07,138078.682382823,317580.9694804929,546186.9773545394
2050-01,146003.9085314229,331307.1343564185,565795.7843201475
2050-07,154174.2447670929,345523.51940648427,584015.6341256916
