Date,Low,Base,High
2025-01,10948.2505557978,11520.1740922947,16667.485920766798
2025-07,10948.2505557978,11928.6909040782,25491.4490552904
2026-01,10948.2505557978,12745.7245276452,34315.412189814
2026-07,10948.2505557978,13562.7581512122,42812.561874910796
2027-01,10948.2505557978,14298.0884124225,51881.6350965045
2027-07,10948.2505557978,15441.9354854163,60787.3015933848
2028-01,10948.2505557978,16585.7825584101,69692.9680902651
2028-07,10948.2505557978,17729.6296314039,78843.7446742155
2029-01,10948.2505557978,19118.5867914678,87994.5212581659
2029-07,10948.2505557978,20670.9506762451,97145.2978421163
2030-01,10948.2505557978,22059.907836309,106377.7777884234
2030-07,10948.2505557978,23857.3818081564,116018.774546514
2031-01,10948.2505557978,25736.5591423605,125496.3645798912
2031-07,10948.2505557978,27860.8465636347,135627.581512122
2032-01,11029.9539181545,30475.3541590491,145595.3917196394
2032-07,11111.6572805112,32517.9382179666,155808.3120142269
2033-01,11275.0640052246,35459.2592628078,166593.1558453113
2033-07,11438.470729937999,37992.0634958655,177132.88958932558
2034-01,11601.8774546514,41096.7912654201,188081.14014512338
2034-07,11928.6909040782,44364.9257596881,199192.7974256346
2035-01,12418.9110782184,48041.5770657396,210386.1580685025
2035-07,12990.834614715299,51799.9317341478,222151.4422478673
2036-01,13644.4615135689,56048.5065766962,234243.5398766589
2036-07,14543.198499492599,60787.3015933848,246580.74759252058
2037-01,15441.9354854163,65771.2066971435,259571.5822072359
2037-07,16749.189283123498,71163.6286126857,272725.8235466646
2038-01,18219.849805544098,77046.2707023681,286288.5816978768
2038-07,19690.5103279647,82847.2094296938,300259.85666087246
2039-01,21487.9842998121,89710.2918676566,313414.09800030116
2039-07,23530.5683587296,96573.37430561939,328529.2200362907
2040-01,25899.9658670739,104662.00717893269,343562.6387099235
2040-07,28269.3633754182,112097.0131533924,359739.9044565501
2041-01,31047.277695546,120920.976287916,375917.1702031767
2041-07,34233.708827457296,129908.346147153,392666.3594863002
2042-01,37828.6567711521,139549.3429052436,409905.76894356386
2042-07,41750.4181642737,149598.8564751177,428289.0254738214
2043-01,46325.8064562489,160138.590219132,446590.5786417222
2043-07,51064.6014729375,171331.95086199988,467016.4192308972
2044-01,56375.320026123,183587.4552155049,486380.1161094351
2044-07,62094.555391092,195842.9595690099,506479.1432491833
2045-01,68304.0109302012,209895.9378943623,527313.5006501417
2045-07,74758.5765563805,223213.58595850438,548311.2647758137
2046-01,81703.3623567,236694.6407473599,569880.9524379824
2046-07,89056.664968803,250992.7291597824,591777.4535495781
2047-01,96573.37430561939,265454.2242969183,613919.0647482438
2047-07,104335.1937295059,280079.1261587676,636632.5994834064
2048-01,112342.12324046249,295275.9515571138,659672.9476679958
2048-07,120594.1628384892,310717.8870425301,682876.7025772986
2049-01,128846.2024365159,326159.8225279464,706162.1608489581
2049-07,137425.0554839694,341846.8681004328,729284.2123959042
2050-01,145840.5018067095,357533.9136729192,752569.6706675637
2050-07,154337.6514918063,373057.5525206922,776427.0524757201
