Date,Low,Base,High
2025-01,10948.2505557978,11520.1740922947,16667.485920766798
2025-07,10948.2505557978,11928.6909040782,25491.4490552904
2026-01,10948.2505557978,12745.7245276452,34315.412189814
2026-07,10948.2505557978,13562.7581512122,42812.561874910796
2027-01,10948.2505557978,14298.0884124225,51881.6350965045
2027-07,10948.2505557978,15441.9354854163,60787.3015933848
2028-01,10948.2505557978,16585.7825584101,69692.9680902651
2028-07,10948.2505557978,17729.6296314039,78843.7446742155
2029-01,10948.2505557978,19118.5867914678,87994.5212581659
2029-07,10948.2505557978,20670.9506762451,97145.2978421163
2030-01,10948.2505557978,22059.907836309,106377.7777884234
2030-07,10948.2505557978,23857.3818081564,116018.774546514
2031-01,10948.2505557978,25736.5591423605,125496.3645798912
2031-07,10948.2505557978,27860.8465636347,135627.581512122
2032-01,11029.9539181545,30475.3541590491,145595.3917196394
2032-07,11111.6572805112,32517.9382179666,155808.3120142269
2033-01,11275.0640052246,35459.2592628078,166593.1558453113
2033-07,11438.470729937999,37992.0634958655,177132.88958932558
2034-01,11601.8774546514,41096.7912654201,188081.14014512338
2034-07,11928.6909040782,44364.9257596881,199192.7974256346
2035-01,12418.9110782184,48041.5770657396,210386.1580685025
2035-07,12990.834614715299,51799.9317341478,222151.4422478673
2036-01,13644.4615135689,56048.5065766962,234243.5398766589
2036-07,14461.4951371359,60787.3015933848,246580.74759252058
2037-01,15441.9354854163,65771.2066971435,259489.8788448792
2037-07,16749.189283123498,71163.6286126857,272725.8235466646
2038-01,18056.4430808307,77046.2707023681,285961.76824845
2038-07,19608.806965608,82520.395980267,299034.306225522
2039-01,21487.9842998121,89383.4784182298,313414.09800030116
2039-07,23448.8649963729,96328.2642185493,328284.1099492206
2040-01,25573.1524176471,104253.49036714919,343317.5286228534
2040-07,27942.5499259914,111606.79297925219,359413.0910071233
2041-01,30802.1676084759,120349.05275141909,375181.8399419664
2041-07,33825.1920156738,129173.0158859427,391685.9191380198
2042-01,37338.436597011896,138732.3092816766,409252.1420447103
2042-07,41015.0879030634,148209.8993150538,426654.9582266874
2043-01,45181.959383255096,158831.33642142478,444956.51139458816
2043-07,49839.051037587,169779.58697722259,463829.98809898586
2044-01,54822.9561413457,181136.3543448039,484010.7186010908
2044-07,60051.9713321745,192983.3418865254,503946.3390161256
2045-01,65771.2066971435,205483.9563271005,524045.3661558738
2045-07,71735.5521491826,219291.8245653828,544226.0966579787
2046-01,78026.7110506485,232200.9558177414,564978.7506965805
2046-07,84644.6834015412,245355.1971571701,586466.7349963926
2047-01,91426.0624771473,258917.95530838228,607709.6092091346
2047-07,98452.55163982349,272807.5269090213,628789.0766971632
2048-01,105397.33744014299,286370.2850602335,650848.9845334722
2048-07,112750.640052246,300504.9667479426,672663.7822827111
2049-01,119777.1292149222,314884.75852272176,694805.3934813768
2049-07,127212.1351893819,329019.4402104309,716701.8945929724
2050-01,134402.0310767715,343072.4185357833,738516.6923422113
2050-07,141673.6303265178,357207.10022349237,760494.8968161636
