Date,Low,Base,High
2025-01,10948.2505557978,11520.1740922947,15523.638847773
2025-07,10948.2505557978,11928.6909040782,20017.3237773915
2026-01,10948.2505557978,12745.7245276452,25001.2288811502
2026-07,10948.2505557978,13562.7581512122,30066.8373472656
2027-01,10948.2505557978,14298.0884124225,36521.4029734449
2027-07,10948.2505557978,15441.9354854163,41995.5282513438
2028-01,10948.2505557978,16585.7825584101,47959.8737033829
2028-07,10948.2505557978,17729.6296314039,53352.2956189251
2029-01,10948.2505557978,19118.5867914678,58908.124259180695
2029-07,10948.2505557978,20670.9506762451,66016.3167842136
2030-01,10948.2505557978,22059.907836309,71898.958873896
2030-07,10948.2505557978,23857.3818081564,77863.3043259351
2031-01,11029.9539181545,25736.5591423605,84072.7598650443
2031-07,11111.6572805112,27860.8465636347,90609.0288535803
2032-01,11275.0640052246,30475.3541590491,98534.2550021802
2032-07,11356.7673675813,32517.9382179666,104907.1172660028
2033-01,11601.8774546514,35459.2592628078,112178.7165157491
2033-07,11928.6909040782,37992.0634958655,119205.20567842529
2034-01,12337.2077158617,41096.7912654201,127865.7620882355
2034-07,12827.4278900019,44364.9257596881,135790.9882368354
2035-01,13481.0547888555,48041.5770657396,143879.6211101487
2035-07,14216.385050065799,51799.9317341478,151804.8472587486
2036-01,15115.1220359895,56048.5065766962,160465.4036685588
2036-07,16258.9691089833,60787.3015933848,170351.5105137195
2037-01,17484.519544333798,65771.2066971435,179747.39718474
2037-07,18955.1800667544,71163.6286126857,189796.9107546141
2038-01,20589.247313888398,77127.9740647248,199764.72096213148
2038-07,22468.4246480925,82928.9127920505,211366.5984167829
2039-01,24511.008707009998,89873.69859237,222314.8489725807
2039-07,27043.8129400677,96818.4843926895,233671.616340162
2040-01,29740.0238978388,104907.1172660028,246008.8240560237
2040-07,33008.1583921068,112668.93668988929,259734.98893194928
2041-01,36684.8096981583,121574.6031867696,272807.5269090213
2041-07,40769.9778159933,130970.48985779009,286370.2850602335
2042-01,45427.0694703252,140856.5967029508,300504.9667479426
2042-07,50574.3812987973,151559.73717167848,317009.045943996
2043-01,56293.6166637663,162507.98772747628,332777.7948788391
2043-07,62666.4789275889,174763.4920809813,348955.0606254657
2044-01,69447.858003195,187018.9964344863,365785.9532709459
2044-07,76882.86397765469,200663.4579480552,384332.6165259168
2045-01,84808.0901262546,215615.1732593313,402797.576418531
2045-07,93223.5364489947,230485.18520825068,421589.34976057196
2046-01,102210.9063082317,245518.6038818835,442342.0037991738
2046-07,111933.60642867899,261287.3528167266,462522.73430127866
2047-01,122064.8233609098,277873.1353751367,483193.6849775238
2047-07,133013.0739167076,294704.0280206169,505907.2197126864
2048-01,144206.4345595755,312188.5475649507,527885.4241866387
2048-07,155726.6086518702,330326.6940081381,550027.0353853044
2049-01,167982.1130053752,348709.9505383956,573230.7902946072
2049-07,180401.0240835936,367910.2406922201,597741.7990016172
2050-01,193065.0452488821,388336.0812813951,620945.5539109199
2050-07,206137.5832259541,407781.4815222897,644802.9357190764
