Date,Low,Base,High
2025-01,111.0,113.0,144.0
2025-07,112.0,118.0,220.0
2026-01,113.0,132.0,280.0
2026-07,115.0,145.0,344.0
2027-01,116.0,166.0,408.0
2027-07,119.0,202.0,476.0
2028-01,120.0,223.0,546.0
2028-07,124.0,244.0,616.0
2029-01,127.0,291.0,709.0
2029-07,132.0,320.0,787.0
2030-01,135.0,366.0,862.0
2030-07,141.0,397.0,964.0
2031-01,148.0,449.0,1045.0
2031-07,153.0,487.0,1150.0
2032-01,166.0,544.0,1255.0
2032-07,178.0,606.0,1344.0
2033-01,193.0,672.0,1457.0
2033-07,208.0,739.0,1573.0
2034-01,228.0,811.0,1697.0
2034-07,249.0,880.0,1816.0
2035-01,277.0,951.0,1937.0
2035-07,305.0,1033.0,2068.0
2036-01,338.0,1111.0,2192.0
2036-07,392.0,1198.0,2327.0
2037-01,421.0,1302.0,2457.0
2037-07,484.0,1386.0,2593.0
2038-01,520.0,1478.0,2751.0
2038-07,583.0,1585.0,2888.0
2039-01,629.0,1681.0,3035.0
2039-07,689.0,1787.0,3191.0
2040-01,756.0,1889.0,3337.0
2040-07,802.0,2001.0,3496.0
2041-01,868.0,2112.0,3640.0
2041-07,931.0,2206.0,3803.0
2042-01,974.0,2322.0,3944.0
2042-07,1041.0,2414.0,4110.0
2043-01,1106.0,2529.0,4252.0
2043-07,1153.0,2641.0,4413.0
2044-01,1209.0,2726.0,4549.0
2044-07,1270.0,2836.0,4692.0
2045-01,1311.0,2927.0,4844.0
2045-07,1363.0,3015.0,4979.0
2046-01,1401.0,3114.0,5128.0
2046-07,1457.0,3198.0,5262.0
2047-01,1484.0,3297.0,5388.0
2047-07,1533.0,3368.0,5514.0
2048-01,1559.0,3447.0,5635.0
2048-07,1582.0,3520.0,5760.0
2049-01,1604.0,3592.0,5881.0
2049-07,1643.0,3660.0,5995.0
2050-01,1656.0,3742.0,6108.0
2050-07,1674.0,3802.0,6222.0
