Date,Low,Base,High
2025-01-01,9203.0,10362.0,13434.0
2025-07-01,9430.0,11914.0,18057.0
2026-01-01,10015.0,13810.0,23024.0
2026-07-01,10944.0,16044.0,28336.0
2027-01-01,12184.0,18602.0,33964.0
2027-07-01,13758.0,21471.0,39906.0
2028-01-01,15623.0,24651.0,46165.0
2028-07-01,17783.0,28133.0,52711.0
2029-01-01,20242.0,31891.0,59542.0
2029-07-01,22975.0,35939.0,66661.0
2030-01-01,25980.0,40247.0,74046.0
2030-07-01,29231.0,44816.0,81683.0
2031-01-01,32725.0,49614.0,89556.0
2031-07-01,36434.0,54641.0,97649.0
2032-01-01,40357.0,59864.0,105948.0
2032-07-01,44464.0,65286.0,114441.0
2033-01-01,48745.0,70879.0,123103.0
2033-07-01,53194.0,76624.0,131932.0
2034-01-01,57769.0,82516.0,140887.0
2034-07-01,62479.0,88533.0,149973.0
2035-01-01,67286.0,94654.0,159171.0
2035-07-01,72192.0,100860.0,168453.0
2036-01-01,77159.0,107148.0,177811.0
2036-07-01,82197.0,113488.0,187223.0
2037-01-01,87272.0,119871.0,196678.0
2037-07-01,92361.0,126272.0,206149.0
2038-01-01,97469.0,132686.0,215635.0
2038-07-01,102562.0,139099.0,225117.0
2039-01-01,107634.0,145478.0,234567.0
2039-07-01,112677.0,151831.0,243993.0
2040-01-01,117665.0,158124.0,253364.0
2040-07-01,122594.0,164362.0,262673.0
2041-01-01,127452.0,170529.0,271912.0
2041-07-01,132221.0,176610.0,281066.0
2042-01-01,136887.0,182590.0,290123.0
2042-07-01,141469.0,188476.0,299070.0
2043-01-01,145929.0,194252.0,307924.0
2043-07-01,150285.0,199911.0,316660.0
2044-01-01,154505.0,205447.0,325265.0
2044-07-01,158597.0,210849.0,333736.0
2045-01-01,162571.0,216123.0,342089.0
2045-07-01,166399.0,221263.0,350297.0
2046-01-01,170090.0,226264.0,358377.0
2046-07-01,173647.0,231131.0,366307.0
2047-01-01,177057.0,235858.0,374099.0
2047-07-01,180337.0,240439.0,381758.0
2048-01-01,183472.0,244882.0,389284.0
2048-07-01,186476.0,249198.0,396657.0
2049-01-01,189335.0,253372.0,403903.0
2049-07-01,192068.0,257412.0,411024.0
2050-01-01,194673.0,261317.0,418009.0
2050-07-01,197146.0,265100.0,424858.0
