Date,Low,Base,High
2025-01-01,9635.023713686509,14397.4018649415,28703.67094001653
2025-07-01,9672.054551684472,16554.95669908167,38928.1026807142
2026-01-01,10014.33959480079,19188.579256305013,49889.14187649736
2026-07-01,10703.913848330447,22292.965160866865,61540.750561423185
2027-01-01,11749.784813408081,25846.896909788597,73880.92708479849
2027-07-01,13127.93248700799,29833.135281900057,86887.65328899845
2028-01-01,14815.337699563874,34253.00637113742,100524.89946154605
2028-07-01,16828.013786426192,39090.5970502667,114774.65074620281
2029-01-01,19132.933243434607,44312.754970883776,129652.92034851402
2029-07-01,21724.091069832695,49914.175757244,145077.6405900599
2030-01-01,24576.46642913534,55880.27237604954,161038.80321737452
2030-07-01,27681.0518202079,62154.022788045324,177486.36696312873
2031-01-01,31004.81973889003,68732.77480535902,194404.31862177726
2031-07-01,34559.780186694596,75609.8979583098,211756.62848084306
2032-01-01,38298.89399102957,82741.63114700423,229491.25362230375
2032-07-01,42217.15698459793,90105.4307745275,247592.18084061402
2033-01-01,46293.5516647522,97689.36199545412,265987.3507108199
2033-07-01,50511.063862682495,105444.35933414602,284688.7731370803
2034-01-01,54851.678576119535,113371.74888453934,303612.3787902823
2034-07-01,59287.372468199996,121409.20423163434,322738.15116349416
2035-01-01,63804.13387049222,129579.26897234583,342014.0473386935
2035-07-01,68380.94528034871,137803.70356444007,361422.05245964194
2036-01-01,73004.7958627972,146107.7037927042,380930.14011524874
2036-07-01,77642.65811367736,154424.96496032996,400452.23932570766
2037-01-01,82286.52536531395,162754.16097338122,419986.34844032564
2037-07-01,86916.38094851885,171058.1612016454,439494.43609593244
2038-01-01,91517.21236140105,179325.0307996969,458962.49073767586
2038-07-01,96077.00960244767,187529.57398274867,478316.4512899088
2039-01-01,100565.74766787655,195662.5080932475,497560.3210540174
2039-07-01,104983.42655768775,203682.7242191724,516630.04720782064
2040-01-01,109305.0254353961,211591.5484544594,535533.636354091
2040-07-01,113534.54763483924,219350.5240749598,554229.0538282718
2041-01-01,117639.96648531625,226972.9120200352,572706.2913768976
2041-07-01,121628.28782104293,234420.25556553685,590929.319287491
2042-01-01,125479.4949728312,241707.14174476257,608908.1458135182
2042-07-01,129207.59960911273,248803.07039718053,626596.732989036
2043-01-01,132781.57589264595,255722.6285560886,644005.0890675104
2043-07-01,136202.42465689033,262437.96824882727,661111.1958913166
2044-01-01,139480.15423643988,268950.4155693327,677913.0518097616
2044-07-01,142606.7579636193,275259.97051760496,694394.6436172996
2045-01-01,145576.23083767228,281357.3504360908,710587.9977250216
2045-07-01,148375.5620236265,287250.5118884073,726463.0893725301
2046-01-01,151031.77402488585,292940.7809684906,742017.9169091319
2046-07-01,153533.85767339697,298421.5272066598,757272.4968417584
2047-01-01,155878.81046878156,303709.9898240851,772210.8159648647
2047-07-01,158088.6507471466,308794.233975341,786860.8973881548
2048-01-01,160129.35017087217,313687.5205997893,801218.7378102426
2048-07-01,162045.9462456317,318389.8496974297,815288.3405325143
2049-01-01,163812.4173014805,322894.59079858166,829089.7220619016
2049-07-01,165447.77917414735,327241.5267213299,842612.8741449387
2050-01-01,166959.03769784808,331416.0704323768,855891.8248434094
2050-07-01,168335.18370452913,335406.28708629677,868900.5526983023
