Date,Low,Base,High
2025-01-01,9641.028714442937,14397.4018649415,28347.377116632786
2025-07-01,9782.14623221896,16554.95669908167,38227.52493810571
2026-01-01,10309.585465325097,19188.579256305013,48844.280214664126
2026-07-01,11194.322243438623,22292.965160866865,60157.60993244469
2027-01-01,12417.340730830841,25846.896909788597,72133.48602966359
2027-07-01,13959.625091773078,29833.135281900057,84801.9332667183
2028-01-01,15835.186994696993,34253.00637113742,98082.88561588216
2028-07-01,18007.996435064022,39090.5970502667,112000.36288547318
2029-01-01,20496.06841514345,44312.754970883776,126508.32710954847
2029-07-01,23270.378764612553,49936.719354158806,141610.78158949444
2030-01-01,26328.925816552506,55922.70738200681,157291.71311976563
2030-07-01,29671.709570963325,62290.61046347031,173513.090337192
2031-01-01,33258.69668946882,68983.40655929416,190242.88683068284
2031-07-01,37088.886338609605,75999.76957554226,207453.0794905337
2032-01-01,41139.25934881936,83303.8949759381,225099.63200149508
2032-07-01,45401.80905242285,90878.5435393116,243164.52950732838
2033-01-01,49850.51377947557,98710.45432630104,261621.7505490224
2033-07-01,54477.36686230228,106778.40983392784,280409.243955089
2034-01-01,59248.33996328323,115043.95333804318,299525.00807483506
2034-07-01,64167.43641625602,123507.0848386471,318902.988435386
2035-01-01,69210.63621819498,132126.69542371845,338537.1800846623
2035-07-01,74356.92186645258,140878.9154024063,358371.53680325527
2036-01-01,79578.27002416554,149742.52727173196,378382.038782847
2036-07-01,84884.68902592784,158698.9657165892,398532.65631096036
2037-01-01,90233.14303298517,167737.62198548866,418785.35802442534
2037-07-01,95621.63037841865,176797.49575736673,439114.12246423063
2038-01-01,101016.12272460856,185907.7610988191,459470.91001374024
2038-07-01,106426.62840614894,195006.09159484596,479825.6959125567
2039-01-01,111826.12491963588,204100.4438090643,500162.4669551347
2039-07-01,117193.59476242185,213151.03492338923,520449.1967303835
2040-01-01,122518.02876645347,222139.29962271443,540651.8571765192
2040-07-01,127783.41359638021,231058.60743735902,560728.4136289855
2041-01-01,132980.7417510675,239891.7191461529,580686.8726905549
2041-07-01,138110.0132305152,248621.395527926,600491.2046487504
2042-01-01,143142.2038644007,257214.48423427402,620089.3665855497
2042-07-01,148071.30865196753,265686.8983924311,639511.3832613502
2043-01-01,152895.32592629694,274013.44221761,658713.2183609025
2043-07-01,157598.2423520384,282191.4635219385,677682.8619800473
2044-01-01,162175.05376189484,290214.33183573565,696396.2943104667
2044-07-01,166639.77182429805,298050.22090453363,714841.5054480018
2045-01-01,170950.36153395296,305705.7611980132,733026.5019954251
2045-07-01,175128.84122696647,313178.300528302,750943.2773499639
2046-01-01,179175.2109033386,320473.14327114465,768567.8117033007
2046-07-01,183065.45056004368,327570.3980174988,785900.1050554346
2047-01-01,186814.57269897268,334484.65180066216,802958.1722626048
2047-07-01,190420.57565320685,341197.33930552856,819726.0001192658
2048-01-01,193879.45608890857,347716.41709571483,836189.5770705654
2048-07-01,197195.21733991549,354047.1895469657,852360.9130206626
2049-01-01,200368.8602396869,360188.33056534495,868264.0277778752
2049-07-01,203398.38312130418,366142.4923387251,883874.9015338857
2050-01-01,206290.791818983,371916.3053367867,899205.5441928527
2050-07-01,209046.0863327234,377507.11737165763,914261.9607068558
