Date,Low,Base,High
2025-01-01,9650.036215577575,14397.4018649415,28175.235157020415
2025-07-01,9889.235412375236,16554.95669908167,37871.23111472195
2026-01-01,10502.746322990155,19188.579256305013,48289.82297265683
2026-07-01,11476.557278990671,22292.965160866865,59429.009080131866
2027-01-01,12777.64077621644,25846.896909788597,71230.74156704522
2027-07-01,14428.015150774354,29833.135281900057,83691.01713201056
2028-01-01,16383.643730450622,34253.00637113742,96815.84072710737
2028-07-01,18643.52568178584,39079.98829877738,110513.13642044998
2029-01-01,21194.650169807745,44283.58090428815,124820.93557520858
2029-07-01,24029.010526841113,49841.240590754926,139665.17711573595
2030-01-01,27113.579248725582,55758.27173392238,155019.83958302098
2030-07-01,30454.361336217593,61994.891515705545,170888.92627844992
2031-01-01,34006.31928364394,68540.49118461512,187192.37117429616
2031-07-01,37789.469760192704,75355.28792256615,203934.1775719459
2032-01-01,41757.774426731296,82441.93391743099,221064.30420407015
2032-07-01,45909.2316163409,89748.71150569918,238550.72465957815
2033-01-01,50225.82632675223,97286.22943886003,256361.41252737917
2033-07-01,54673.53022034554,105005.42224127546,274476.35130054166
2034-01-01,59254.34496403965,112900.98553720082,292819.4782527252
2034-07-01,63942.24888789003,120941.09307216817,311394.7966853161
2035-01-01,68740.2444922749,129097.896873518,330150.263680292
2035-07-01,73586.28010271117,137356.80990795253,349047.8478744828
2036-01-01,78502.37405530576,145682.0276391953,368059.52615818416
2036-07-01,83460.50301319534,154068.24569150162,387155.27377099846
2037-01-01,88435.6461398948,162480.9856225313,406313.072555301
2037-07-01,93422.7992681071,170904.33430505026,425470.87133960356
2038-01-01,98396.94156134715,179311.76986033525,444598.64536350855
2038-07-01,103349.0655184803,187704.61838232243,463708.40453117504
2039-01-01,108268.16197145311,196028.51001962903,482706.0712600242
2039-07-01,113128.20925032106,204298.0318055529,501637.6835159989
2040-01-01,117936.21318929998,212486.66186137064,520421.1736206792
2040-07-01,122663.14961806712,220561.24783867828,539060.5448754515
2041-01-01,127297.00853510965,228519.13754960333,557537.7824240772
2041-07-01,131845.79660810283,236366.9614638268,575824.863156852
2042-01-01,136276.48633288627,244071.56723294445,593881.7540599126
2042-07-01,140609.09437864803,251627.6504812116,611740.4815443496
2043-01-01,144823.60407620016,259029.9068328837,629340.9960893681
2043-07-01,148909.00625748906,266251.8144092373,646695.3075991271
2044-01-01,152857.29425483954,273319.8950889958,663797.411121547
2044-07-01,156691.48723781793,280203.6487116274,680647.3066566278
2045-01-01,160370.55103458866,286907.05355894065,697184.9446835746
2045-07-01,163922.50898201502,293434.08791274385,713492.392880807
2046-01-01,167339.35441242176,299775.46911548404,729491.5868712919
2046-07-01,170600.0698231614,305925.89279141655,745220.5580181992
2047-01-01,173733.67938455674,311901.27206777525,760691.3162256879
2047-07-01,176731.17559547297,317685.6938173262,775871.8350826673
2048-01-01,179592.55845591024,323292.4189794311,790770.1211919101
2048-07-01,182309.82129819333,328709.51270866435,805390.1778548028
2049-01-01,184898.9774576726,333959.51860194094,819758.0265303565
2049-07-01,187359.0261008887,339030.50181383523,833871.6655678779
2050-01-01,189689.9672278416,343951.6364109429,847719.0850632079
2050-07-01,191903.8108400443,348692.4222327322,861336.314728824
