Date,Low,Base,High
2025-01-01,9661.045383631024,14397.4018649415,28009.098149487545
2025-07-01,9974.306256424612,16554.95669908167,37574.98681213322
2026-01-01,10673.888844548314,19188.579256305013,47851.46147085323
2026-07-01,11715.756475788332,22292.965160866865,58828.51387218172
2027-01-01,13099.909150144667,25846.896909788597,70504.14236542555
2027-07-01,14822.343533779705,29833.135281900057,82828.30568325552
2028-01-01,16863.04295750535,34253.00637113742,95780.98731873998
2028-07-01,19216.002420565175,39090.5970502667,109366.19057326524
2029-01-01,21865.20858760872,44312.754970883776,123537.87748088845
2029-07-01,24802.65479096074,49936.719354158806,138318.06619923448
2030-01-01,28031.343530999453,55922.70738200681,153670.72701582633
2030-07-01,31538.263972752604,62290.61046347031,169563.83351957327
2031-01-01,35309.40444778852,69003.29796833664,185985.37580631638
2031-07-01,39346.766623026015,76062.095990542,202925.3456225897
2032-01-01,43625.32966197997,83451.09140285243,220389.74792047284
2032-07-01,48154.10106578505,91162.32764165086,238330.54308332977
2033-01-01,52915.06583217195,99195.80470693737,256749.7327618536
2033-07-01,57917.231462275326,107539.58775328645,275631.3037504991
2034-01-01,63135.57711961006,116163.17662016631,294945.23128886864
2034-07-01,68569.10197071674,125087.78881055556,314715.5351852803
2035-01-01,74223.8110163518,134282.92416392246,334898.1791244844
2035-07-01,80070.68008619251,143761.8436196286,355473.1465995493
2036-01-01,86115.71418099532,153484.7643595891,376470.4623708724
2036-07-01,92328.88829697804,163435.77325656996,397754.01419131836
2037-01-01,98655.1565938735,173539.2829562098,419305.7872046488
2037-07-01,105098.52240551925,183787.33689489154,441077.74179422756
2038-01-01,111620.95406045797,194142.80444240262,463031.8465968846
2038-07-01,118202.43488950154,204587.1202836368,485072.02237934776
2039-01-01,124823.94905692131,215069.89284901976,507196.2674909239
2039-07-01,131453.46989201626,225572.55682344513,529326.5175545797
2040-01-01,138071.9815590578,236051.3511070196,551438.7527619969
2040-07-01,144653.46238810138,246487.71038463677,573502.9483527781
2041-01-01,151172.8915426619,256849.8084018287,595445.0432512761
2041-07-01,157624.26402198288,267124.38421923376,617216.9978408548
2042-01-01,163971.5498215258,277235.85048249055,638798.7956145828
2042-07-01,170214.74894129072,287218.68563393934,660148.4019079033
2043-01-01,176310.82554252312,297023.82419794204,681245.8002138848
2043-07-01,182266.78545943892,306622.0921079031,702042.9509158913
2044-01-01,188049.60118787774,316025.42420924787,722507.8276028319
2044-07-01,193677.2877301089,325183.42893240205,742640.4302747067
2045-01-01,199099.80341316215,334096.1062773659,762384.7127121072
2045-07-01,204351.1765746572,342754.173586586,781750.683168499
2046-01-01,209382.36637508334,351143.04382676474,800710.3185341781
2046-07-01,214211.3878167097,359265.36918577424,819259.615507758
2047-01-01,218841.24339991462,367101.2582545722,837396.5724385452
2047-07-01,223246.91228821297,374674.58072400955,855111.1810730742
2048-01-01,227453.4153180898,381954.8364335544,872397.4364592654
2048-07-01,231433.72998614126,388953.9602286324,889237.3237408804
2049-01-01,235212.8771288524,395673.27820317954,905684.8874866348
2049-07-01,238783.85091200742,402112.7903571959,921714.106237517
2050-01-01,242152.65633636276,408289.73591185163,937338.9915483797
2050-07-01,245321.29506883724,414212.07143076375,952551.5368164497
